"mlid","tid","vid"
"tid","title"
"66","Японская гравюра"
"67","Европейская гравюра XV-XVII"
"68","Модерн"
"63","Allaert Claesz"
"69","Nikolaus Stör"
"73","иллюстрация"
"74","Джон Тенниел"
"75","плакатная графика"
"82","Стейнлен, Теофиль-Александр"
"8","Хьюго Симберг"
"83","Библия Мациевского"
"84","Русская миниатюра"
"85","карикатура"
"86","Манесский кодекс"
"10","Michael Cheval (Михаил Хохлачев)"
"144","Гравюра XVIII-XIX"
"145","Густав Доре"
"147","Ян ван Эйк"
"150","Жан Гранвиль"
"151","Лукас Кранах Старший"
"445","445","197"
"496","496","85"
"446","446","112"
"495","495","84"
"447","447","112"
"26","26","126"
"480","480","170"
"498","498","106"
"451","451","158"
"361","361","147"
"362","362","147"
"454","454","4"
"454","454","101"
"265","265","104"
"79","79","101"
"78","78","101"
"77","77","101"
"67","67","115"
"66","66","162"
"66","66","115"
"65","65","162"
"65","65","17"
"63","63","17"
"63","63","115"
"61","61","115"
"60","60","115"
"59","59","115"
"58","58","115"
"56","56","115"
"23","23","132"
"22","22","132"
"44","44","112"
"43","43","112"
"42","42","112"
"41","41","112"
"40","40","112"
"39","39","112"
"38","38","112"
"37","37","112"
