entity_id,field_subfolder_value
581,video/films/mult
582,video/films/.
583,video/films/.
584,video/films/.
585,video/films/0_comedy
586,"video/films/
airplane_ii_the_sequel.avi
0_comedy"
587,video/films/0_comedy
588,video/films/http://mycomp/video2/0_comedy
589,video/films/0_comedy
590,video/films/http://mycomp/video2/0_comedy
591,video/films/S
592,video/films/0_comedy
593,video/films/0_documental
594,video/films/.
595,video/films/.
596,video/films/.
597,video/films/.
598,video/films/.
599,video/films/.
600,video/films/http://mycomp/video2/Gilliam
601,video/films/Gilliam
602,video/films/.
603,video/films/.
604,video/films/.
605,video/films/.
606,video/films/.
607,video/films/.
608,video/films/.
609,video/films/.
610,video/films/.
611,video/films/.
612,video/films/.
613,video/films/.
614,video/films/.
615,video/films/http://mycomp/video2/0_comedy
616,video/films/.
617,video/films/.
618,video/films/.
619,video/films/Jos_Stelling
620,"video/films/Mamin,Yuriy"
621,video/films/.
622,"video/films/Mamin,Yuriy"
623,"video/films/M/Mamin,Yuriy/."
624,"video/films/Mamin,Yuriy"
625,video/films/.
626,video/films/Roy_Andersson
627,video/films//Roy_Andersson
628,video/films//Roy_Andersson
629,video/films/.
630,video/films/.
631,video/films/.
632,video/films/.
633,video/films/.
634,video/films/.
635,video/films/.
636,video/films/.
637,video/films/.
638,video/films/.
639,video/films/.
640,video/films/.
641,video/films/.
642,video/films/.
643,video/films/.
644,video/films/.
645,video/films/http://mycomp/video2/0_comedy
646,video/films/.
647,video/films/.
648,video/films/.
649,video/films/.
650,video/films/.
651,video/films/.
652,video/films/.
653,video/films/.
